date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,max_health_index,min_health_index,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast
8/1/22,24.4,16.8,100,70,19,4,2.2,1,7,8,25,25,18,18
7/31/22,27.8,18.6,100,56,16,2,4.1,2,8,8,26,26,18,18
7/30/22,28.8,18.1,99,54,18,2,5.1,1.9,8,8,28,28,18,18
7/29/22,28.6,18.2,97,63,12,1,5.2,1.7,9,9,28,28,18,19
7/28/22,27.9,17.9,96,61,16,3,4.6,1.1,9,9,27,27,17,18
7/27/22,30.4,18.5,95,47,21,4,4.6,1.3,9,9,27,29,20,20
7/26/22,27,18.2,100,62,25,7,4.4,1.1,9,9,27,27,17,17
7/25/22,24.4,16.4,100,73,30,9,3.2,1,9,9,25,25,17,17
7/24/22,22.8,13.4,100,77,23,3,3,1,8,8,23,23,16,16
7/23/22,20.8,12.5,96,69,16,5,2.4,1,8,8,22,22,13,13
7/22/22,21.7,14,97,64,30,7,2.1,1.1,8,8,21,22,15,15
7/21/22,23.2,15.3,100,69,17,2,2.4,1,8,8,22,23,15,15
7/20/22,23.4,13,100,63,15,3,3,1,8,8,24,24,15,15
7/19/22,21.7,12.5,100,71,17,0,3,1,8,8,22,22,15,15
7/18/22,20.6,13.9,98,63,18,3,2,1,7,7,21,21,13,13
7/17/22,18.5,13.3,100,77,18,2,11,1,4,5,21,21,15,15
7/16/22,22.5,14.5,95,55,18,1,11,1.1,6,6,22,22,14,14
7/15/22,20.4,15,95,60,27,1,9,1.2,6,6,22,22,15,15
7/14/22,25.8,13,93,44,24,5,2.7,1,8,8,22,23,14,14
7/13/22,20.9,15.6,82,54,37,7,2,1.1,7,7,21,21,14,14
7/12/22,22.4,14.4,100,71,28,2,2.8,1,9,9,24,24,15,15
7/11/22,24.3,12.8,99,59,14,1,2.8,1,9,9,24,25,15,15
7/10/22,23.2,14.8,93,62,21,5,1.9,1,8,8,21,21,13,13
7/9/22,21.4,14,96,68,13,2,2.2,1,6,7,21,21,15,15
7/8/22,21.2,14.8,94,68,14,3,2.2,1,7,7,21,21,14,14
7/7/22,22.9,15.2,100,53,19,4,2.6,1,6,6,21,21,14,14
7/6/22,22,15.9,100,65,14,0,3,1,5,5,20,21,15,15
7/5/22,20.7,14,98,70,18,2,2.5,1,7,7,19,19,14,15
7/4/22,17.6,12.6,100,70,19,2,2,1,2,5,18,18,12,12
7/3/22,15.7,12.8,100,80,23,12,2,1,2,2,17,17,13,14
